activityID,riskID
124882,13866
124916,14454
133784,10733
133784,11776
113128,12736
100037,10009
100037,10732
122489,10565
122493,10551
115576,12459
130297,12103
130297,12104
107180,11685
123887,12893
127981,14424
129437,14526
114249,11598
104289,13679
114120,12250
122540,14369
122539,13678
105264,14092
106994,12205
125317,12611
105719,12203
106992,12204
112342,12122
126119,14806
109773,11571
130555,15080
129666,15213
101727,10933
122315,10560
122313,12306
117665,13940
117664,13941
122912,11035
122912,11033
122912,11034
122913,12601
122913,12603
122913,12602
103012,12604
103012,12605
110368,12606
110368,12573
110368,12572
109870,13972
106766,11318
120918,13267
114575,12774
130482,12762
113705,13667
120332,10789
125434,10742
103168,10743
125433,10744
101341,12761
126219,12154
104106,10413
109779,12519
105147,12788
111644,12787
107057,11119
109863,10867
111643,13599
129540,11943
115664,12474
133258,15286
133261,13623
133261,11509
107403,11174
107403,11273
133265,14572
113576,10119
113576,12142
123454,11606
114203,14703
134095,13067
117076,12342
118041,11628
116885,14929
127813,14329
115661,13162
115661,12962
125443,11935
129616,11900
117012,12687
117013,13021
129430,12131
113537,10414
100890,10138
122603,13541
122640,13532
122648,13540
118811,12135
118811,10590
122681,13550
122681,13545
131593,15019
122641,13551
122647,10415
122626,13549
122628,12975
122628,13690
122628,10137
122642,13543
132604,15335
122682,13544
122377,13490
132603,10416
110602,12739
103365,15395
131299,10662
134973,10813
100211,10816
128167,14389
134972,10812
110463,10814
111391,10815
135124,11991
135124,15117
126617,13485
122344,14339
103725,10615
128941,12057
109566,11521
118487,15114
123344,13272
133768,13275
127395,13274
133767,13273
109671,13498
100941,10151
131475,14939
122747,10028
122744,11710
112075,11672
112078,12540
101915,10277
101803,12789
121325,10067
110571,11414
112128,11903
112128,11949
112128,11947
112130,11902
112130,11948
112134,11952
135110,15432
126969,11068
108856,11069
134466,13084
134055,14074
133074,13083
103285,10526
134054,14075
134467,15230
101336,13443
101126,10430
101125,10910
102675,11256
126397,14085
114069,11009
132098,14371
110742,13170
110742,11720
111471,11839
123644,12766
102443,10401
110674,11711
134376,11590
134376,13070
102553,13069
101113,10166
134373,13653
134371,14812
102554,12028
101361,14698
101362,14699
101365,15273
101366,15274
134808,14846
125401,14078
125400,14593
107039,13289
107333,10641
107409,13290
106304,10992
131882,10275
122528,13519
132443,13899
131885,14538
126532,14096
104414,11045
104414,11046
124577,11587
115696,14795
104415,11586
100596,14065
100595,14064
100446,11845
115217,12407
125741,12406
113720,14580
125651,10182
122428,12193
107321,11609
107318,12194
101134,10223
108075,14199
129859,14641
131284,14863
131290,14851
131291,14864
120438,14069
101905,13139
121959,14313
118448,14314
122720,10828
125951,11842
125950,11876
122712,10829
126104,11841
122713,10090
125947,11875
121239,13319
121239,13318
103144,10499
103188,10500
103149,10475
103148,10498
125529,11791
125523,10660
125524,11789
125526,11790
114371,12267
101735,10250
103282,10525
114370,12268
124670,12800
117515,14418
128355,10248
101677,12498
121916,13417
112519,14973
127897,12568
105100,15424
119537,11745
119821,12186
104961,11005
130496,14750
130613,11140
101870,14351
132783,14338
119809,13104
111249,15235
112852,14874
111422,10664
107036,10663
107036,14940
124754,10665
